;segment_id;time_to_eruption
1901;1000015382;16258654
1438;1000554676;6347792
2649;1000745424;5120693
2402;1001461087;10393161
1218;1001732002;20549733
3975;1002275321;31353326
80;1002575641;9924307
4220;1002609771;44906449
1253;1002624617;8004890
2338;1002789083;7581131
1535;1002825126;36755640
22;1003154738;1891688
501;1003175827;21994554
2787;1003411703;36831703
1115;1003520023;25349493
2200;10035828;21697259
1085;1004346803;213390
1236;1004557332;35397029
2098;1004561781;21965310
3688;1004609129;32264195
203;100519902;4357018
3760;1005472094;30290303
3851;100610446;27292311
2173;1006345280;9680604
1702;1006842231;13146833
4152;1007019534;8705748
4374;1007996426;45018989
3149;1009126824;245735
3099;1009442335;33710897
1675;1009749143;4091055
3814;1010002096;34570257
3494;1010561361;35512645
3465;1010680130;34540645
4115;1010725931;46629410
2856;1010756593;30695791
2384;1010864137;33693026
3928;1011078321;15946474
2335;1011133267;29267657
3336;1013196130;5182237
2156;1013226239;15687735
1651;1013789689;37056937
1379;1014562599;41018705
619;1014585637;23961047
3289;1015033166;14697508
293;1015092282;41052996
2955;1016110949;21618954
1433;101616763;8785675
4232;1016242026;22762641
3505;1016727429;38082962
3137;1016932159;1428121
2219;1016956864;20704604
1980;1017830158;4800251
816;1018207090;26111068
763;1018435910;17275464
1768;1018756523;29754498
3645;1019052648;22465586
3629;1019955915;31097762
1526;1020283272;16657318
4401;1021479157;23319872
3563;1022420757;12329909
2627;1023111602;4839779
3481;1023245702;16294901
2258;102338326;4598189
2406;1023559523;1245749
3154;1023589533;4423703
3366;1023927094;17627859
1946;1024265947;19224020
3043;1024522044;21496194
3931;1024855809;40938060
2245;1025401939;6467224
4257;1025870964;28871048
1169;1026930172;27668379
4044;1027307874;7822077
679;1027457977;34398491
3375;1028325789;47473541
2274;1028350709;8229339
2839;1028796869;1797436
2308;1028829115;7435922
3548;1030109165;2136730
4391;1031098571;743089
464;1031775369;37403436
3180;1032429253;38783389
1567;1032570249;14205791
2218;1032987045;26388292
3875;1033287069;16097864
2640;1033677406;30736075
363;1033835311;40065339
3555;1034203889;29384364
394;1036403851;4719062
3307;1037601470;13071604
620;1038366766;13507919
75;1038903770;12844995
1509;1038918048;37930321
3671;1039038516;26788256
2928;1039242162;45106551
912;1039583299;2754390
3716;1040017632;40389284
230;1040427269;20682439
4335;1041846634;22245477
2253;1041878888;19763961
1207;1041963422;17286638
2392;1042260671;45560318
3756;1042743186;41542280
3069;1042857837;21508437
3402;1043816873;15217883
664;1044404474;9441051
2086;1044700555;30282601
3932;1044996306;20478572
4114;1045737293;20476501
4043;1046153021;3265993
2591;1047097201;2212847
1204;1047238065;1756341
112;1047698781;42753277
1659;1048009361;17128163
3880;1048073965;25602919
1956;1048300101;16549824
1752;1049186697;12851509
31;1049342028;20039978
751;104958377;12960507
1777;1049892705;23385989
82;1051215459;39027962
1016;1051299690;37875002
4207;1051817564;35389962
1164;1052073345;9311783
2217;1052075589;30757334
1961;1052745011;19839592
1177;1053043132;9442732
2172;1053609274;35323803
3646;1053686121;11025917
379;1053927671;676554
1546;1054353459;19501057
4013;1055093477;42668581
2324;1055227118;17695697
4065;1056424078;16095800
3028;105658810;17054015
4288;1056778258;9806109
2026;1057137462;32749821
4116;1057504299;9719296
3006;1057868450;38501378
1019;1058582421;24118695
1059;1058923200;30815166
2505;1059294461;12981242
2970;1059381646;13871584
3081;1060048694;45662421
2275;1060581218;20966158
867;1060632987;3975339
1773;106078758;24921651
2802;1061211936;43016957
2909;1061556765;46584326
2323;1061801479;26742662
1832;1062764986;39691110
1542;1063425676;12886267
1354;1064794195;13261250
749;1064935255;47950543
3002;1065197609;1583671
318;1065259888;27899734
1899;1065800547;10935736
3642;1066152649;19477998
2593;1067098395;11554566
1991;1067330822;42126602
3935;1067927661;1239962
1070;1068033648;8548168
3023;1068054446;41919713
1118;1068208983;47680668
919;1068504383;15380444
1455;1070060959;7147858
3786;1070188655;25005211
974;1070784997;11763117
322;107081920;428461
126;1070821612;29318853
347;1071049789;3488666
3952;1071353921;35568642
2885;1071748769;11369004
1103;1071777430;43767476
3714;1072055317;6538574
933;1072192149;18311504
2690;1072732496;13152447
137;1073019591;32035743
3744;1073703374;10163025
3119;1073745213;40049085
593;107400998;4494244
2018;1074244722;46351483
855;1074426665;20835819
2918;1074671362;35250416
4194;1075300188;39230377
1347;1076119752;11806816
459;1077334203;17255974
4126;1077415466;1069222
1058;1077594989;45619252
1855;1078903277;33235877
3829;1079138094;29187319
3486;1079334814;14980116
3306;1079412257;26136621
4127;1079412715;16525947
4131;1079658754;7505535
97;1079693590;44830265
2541;1079724272;31135915
3313;1079740004;4180857
1728;1079821584;23971970
1067;1080143124;19927685
3592;108037369;43608899
2376;108124387;12972938
3327;108195434;39847007
4240;1082557979;38377317
2000;1082824214;8451818
319;1083379708;17756073
2359;1083668827;3920455
3746;1084077028;21652213
3424;1084739465;29270704
822;1084812938;8011740
1152;1086656455;30349614
3855;1086685621;26031912
2314;1086942147;27644285
32;1087653736;15126522
2726;1088021526;26567742
2986;108874736;20852783
606;1088828384;47126240
271;1089324375;8353679
4078;1089375229;39499982
1741;1089435916;5943894
836;1089685571;22167992
403;1089686246;41977516
384;10901393;43859980
40;1090755834;7412828
4404;1091829226;39290499
2448;1092333463;21981870
1021;1092709083;23580134
1801;1092728543;31178789
1281;1092950441;32798542
3683;1093181664;27008976
4344;1094000638;17870652
371;1094157333;42091471
2853;1096450417;37951135
4367;1096543877;19580279
1756;1096991212;7954749
1333;1098000689;18766799
261;1098074077;3820740
480;1098531429;1817576
35;1098612833;32331124
382;1098698634;24508381
3720;1098922326;33585826
571;1099545410;45026528
466;1099864364;26858020
4430;1100632800;20128938
2456;1100965951;31616515
2295;1100991799;38927827
629;1101821065;13446313
4031;1102017109;35324935
519;1102879167;27136772
417;1103243029;17473335
1821;1103672024;22811611
3047;1104061012;41579555
3020;1104202675;29599458
2417;1104705292;1049760
2964;1105095930;32576385
202;1105888187;25054246
2103;1105923226;15036062
3046;1106309851;39520478
199;1106409037;11536123
3567;1107722316;17021079
3795;1107780094;29670345
1759;110797815;20578490
1237;1108848326;2749571
3056;110912013;42746373
1331;1109392959;34883708
3970;1109804924;1153377
207;1110429957;7773440
876;1110563085;32424016
392;1111204031;18808971
3140;1111649370;42641902
2777;1111781387;30978743
67;1111981902;40140117
3231;1112166288;47951071
3334;1112652101;39273445
264;1112729101;28772117
800;1112777130;7177158
2066;1113243853;2446228
1522;1113441311;4915216
3887;1113992376;2126169
955;1114275678;35913386
4185;1115036717;21986065
3218;1115044441;25628948
3517;1115085900;20998774
2515;1116352983;45398747
2630;111665787;37729412
1698;1117294384;40645488
1417;1117793086;30595040
1721;1117905846;2321914
2357;111928340;34087320
644;1120445474;10175117
2400;1120674393;13361950
3915;1120931614;31342250
246;1120996406;2778919
3221;1121018916;37576859
2740;1121140466;11058120
790;112124903;24814472
2436;1121542036;9072704
654;1121697834;12626808
3708;1122508880;45686081
1713;1123001951;8347832
2841;1123066550;42461589
625;112321400;46038171
2861;112348433;14387528
847;112375098;31681477
785;1124119171;7329811
192;1124990118;21310001
1599;1125424344;3347379
3730;1125482656;18691849
3363;1126911948;12419878
3074;1126999790;34501004
4067;1127884712;7938995
269;1128186391;25031879
3799;1129429071;43773057
4304;1129909391;45371814
3791;1129938643;34935678
3739;1131527270;48522449
2653;1132116234;14059587
1906;1132218304;29603843
3925;1132419329;40226762
1921;1133090317;26712352
3480;1133130522;10814995
4369;1133499260;16402961
3812;1133663547;42683122
2519;113427359;984261
1536;1134675027;25733174
3496;1135450244;28410743
4316;1135623500;3639759
2719;1135859577;14800103
0;1136037770;12262005
3948;1136356907;34976887
1358;1136523713;36611727
3821;1136682157;40566350
2128;1137143171;38944090
3617;1137459605;42020591
1871;1138124607;35841678
3003;1138688286;8580210
1913;1139102111;9014918
1125;11392010;39483628
354;1139489647;33996917
2944;1139540990;40236527
404;1139605058;38765962
3991;1139907613;18829456
612;1139939622;3806954
1454;1140405837;10703793
3197;1140561040;40400946
977;1140760418;45766485
4326;1141054211;20304227
1670;1141152432;27352648
3357;1141177767;18209473
1497;1141586751;16246680
3493;1141989284;42948732
3798;1142113285;35575875
2668;1142115505;29175787
3637;1142235055;41801140
1681;1142739992;34403167
2979;1142959485;33058887
2577;1142973144;18122385
1745;1143009226;46478810
2019;1143931457;28617284
1319;1143985791;21154411
1616;1144399369;32958245
3466;1144508876;9304336
3037;114473006;22128141
4204;1145497571;15740915
3112;1145919143;96306
904;1146220591;29245021
3136;1146471189;20760210
2114;1146840738;10637491
1605;1147795366;21243204
1647;1148016357;36845187
604;1148831112;23961242
3470;1149417056;25077115
3232;1149561649;34568453
2830;1150039132;715490
2676;1150756360;15300412
765;1150860263;16633828
1414;1151202699;44138014
3969;115172114;34629864
2624;1151918483;15990184
1708;115231914;41548242
3262;115235190;34240437
3025;1153017772;36984522
3089;1153303479;22306753
4061;1153507500;15813180
3884;1154700918;38834933
3065;1154986023;44261741
572;1155073153;31408489
362;1155734430;3290204
191;1156048155;31574789
2074;1156586754;32808815
3487;1156712721;32752938
2109;1156888333;38585815
542;1156895420;44120058
71;1158288485;31005903
3727;1158351226;9308283
3280;1158353351;13100381
2038;1158364571;21694523
1784;1158945000;4769718
70;1160064144;21021604
2671;1160333827;39680269
945;116173096;13731784
1676;1162036523;21554090
4132;1162128945;48387290
2757;1162241076;7792647
7;1162441568;9504818
722;1162569015;22251320
1351;1162680622;36533947
2356;1162956646;15078183
2733;1163316433;14161636
4053;1163754152;40255187
850;1163975632;37286292
4246;1164158990;20902381
1925;1164949475;43475707
2537;116548092;47441128
4196;1167730371;7757111
2800;1167824881;19300336
3974;1168740391;19319663
3398;1169355212;20446598
4144;1169725037;4636822
2615;1170778257;19794931
2171;117092563;10589966
1610;1171002359;39244841
1825;1171309166;36442097
1288;1171535008;10171910
568;1171708569;19151403
410;1171869234;33398381
317;1172960446;31152404
4188;1173524986;21894333
163;117353587;39530436
1051;1174005524;39304003
1891;1174567207;10106188
3048;1175013181;5540294
3391;1175285966;26813505
2823;1175666078;9530589
540;1176309909;30260963
4102;1176796937;21393536
2672;1177828269;8479224
2242;1177898008;12930980
2555;117864846;39736058
4237;1179059409;12001554
2883;1179136480;14605849
607;1179922830;32160000
1926;11804308;29718666
4051;1182480093;23646103
372;1182581931;38327442
453;1182918404;38960058
3252;1183368100;5269571
3705;118375419;34177196
2072;1184189143;41952101
1153;118578176;27814731
1193;1185987238;7622859
1083;1186704180;24944414
2622;118766330;23720981
2385;1188169213;6578266
979;1188262821;15443477
3949;1188464475;21602805
4280;1188475928;13824466
3565;1188860608;35599185
3553;1189625937;44399994
783;1190293359;41426495
1511;1191004876;30326822
517;1191350506;5020088
2035;1191484058;26062934
3033;1191644191;5525566
1940;119176309;16674582
176;1192163654;24350781
2390;119226806;16623212
3651;1192274646;34426080
1420;1192354436;8920951
434;119249800;15289217
4028;1192605002;27552697
642;1193276340;9409254
233;1193696136;4102739
809;119375610;5361777
1636;1193816078;14329427
2175;1193838198;24270100
2903;1194551803;2705517
113;1194762613;38733309
1638;1194799275;26550950
3246;1194802638;46956438
1797;1194833182;23399824
295;1196312634;30923121
3283;1197116188;3688912
1598;119735052;26865592
1602;119828684;17721516
1366;1199580311;46245974
537;1200187647;29834194
3704;1200555803;21093961
966;1200721383;15524864
3076;120078459;28074470
49;1201950963;4716683
1875;1202272000;8666164
52;1202935850;4208163
2851;1203041521;2060215
3797;1203860975;27406234
523;1204506668;16217209
3768;1204676321;20282827
1223;1204682805;22175234
3957;1204691003;37298304
182;1205512045;16095563
326;12058946;17944214
3963;1206090150;7657213
2972;1206337783;42942791
1293;1206664260;3229923
846;1207105314;4857362
2393;1207122523;40895331
3758;1207250122;2861177
1554;1207479220;29987709
3184;1207757591;1955474
164;1207889265;5107382
1424;1208305522;33984045
2280;1209060315;23715792
4081;1209629994;20305658
4419;1211398909;41585210
2869;1211468948;20770278
430;1212346942;23209780
1886;1212561114;1925776
4340;1213372869;20565587
1820;1214300017;13807580
3757;1217169700;22202040
4041;1217315221;14684594
2349;1217802563;21649900
1689;1218086210;34991277
1631;1218513300;3344185
177;1218932007;38030277
2453;1219465798;14140002
2330;121962462;6735743
675;1219716331;25667145
3102;1220739030;29803882
3590;1221021840;285292
2252;1221036432;4955630
465;1222398379;12889758
1372;1222915307;23606843
3527;122310777;48224425
3615;122316130;26240258
2296;1223921706;39933903
1646;1225045427;1627785
2049;1225680864;35209203
23;1225949488;3600069
660;1226022734;33350486
4349;1226880809;24800081
1286;1227006408;32317423
2660;1228887863;336237
815;123014977;9593329
4138;1230395899;14679666
1163;1230685914;16538607
2122;1231275179;10762232
2180;1232501455;32894338
1658;1232569304;5095266
3546;1232916817;16910560
1113;123327103;22868549
450;1233272039;7412888
3355;123379451;27709097
3001;123496330;28447349
3873;1235044971;38459729
1888;1235339888;15888092
2380;1236175272;8663552
2723;1236765323;45829249
4002;1237711608;43034580
3388;1238100097;1930176
232;1238398453;14442539
2667;1238527714;27019175
1584;1238859327;6790171
4030;1238898356;33460640
2059;1239137007;32089634
554;1239209006;25386113
1101;1240124708;10481924
3656;1241211907;5793308
1199;1241598842;11144483
3762;1241750749;41117900
4395;1242266897;30514691
2960;1242521207;13371198
3523;1243101535;8660094
148;1243250306;15918903
38;1243491909;10349522
824;12445922;41193794
1197;1245409985;605855
2428;1245777723;27927741
965;1246332909;46046804
2462;1246585270;16417683
2538;1246974750;14498234
175;1248281726;37555576
1302;1248634358;21162599
2409;1248739400;42234495
673;1249637406;13124526
1600;1249783920;13984767
2991;1250547705;21286915
1226;1251032581;13740729
694;1251724802;4282271
1238;1252913785;40472962
1742;1253007685;24894907
1818;1253627982;12616374
